任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
时间序列,Time Series,Time Weaver: A Conditional Time Series Generation Model,"Sai Shankar Narasimhan, Shubhankar Agarwal, Oguzhan Akcin, Sujay Sanghavi, Sandeep Chinchali","5th Mar., 2024","arXiv, 2024",条件扩散,未归纳,Paper:https://arxiv.org/abs/2403.02682,（README未提供，详见论文）
时间序列,Time Series,Risk-Sensitive Diffusion: Learning the Underlying Distribution from Noisy Samples,"Yangming Li, Max Ruiz Luyten, Mihaela van der Schaar","3rd Feb., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2402.02081,（README未提供，详见论文）
时间序列,Time Series,Reliable Generation of EHR Time Series via Diffusion Models,"Muhang Tian, Bernie Chen, Allan Guo, Shiyi Jiang, Anru R. Zhang","23rd Oct., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2310.15290,（README未提供，详见论文）
时间序列,Time Series,A Comprehensive Survey on Generative Diffusion Models for Structured Data,"Heejoon Koo, To Eun Kim","7th Jun., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2306.04139,（README未提供，详见论文）
时间序列,Time Series,Restoration of Time-Series Medical Data with Diffusion Model,"Jiwoon Lee, Cheolsoo Park","6th Oct., 2022","ICCE-Asia, 2022",扩散ODE,重建/复原驱动,Paper:https://www.researchgate.net/profile/Jiwoon-Lee-3/publication/363520751_Restoration_of_Time-Series_Medical_Data_with_Diffusion_Model/links/63210895071ea12e362ee672/Restoration-of-Time-Series-Medical-Data-with-Diffusion-Model.pdf,（README未提供，详见论文）
音频,Audio,Adversarial Fine-tuning using Generated Respiratory Sound to Address Class Imbalance,"June-Woo Kim, Chihyeon Yoon, Miika Toikkanen, Sangmin Bae, Ho-Young Jung","11th Nov., 2023","NeurIPS Workshop, 2023",通用/未明确,未归纳,Paper:https://openreview.net/forum?id=z1AVG5LDQ7 | GitHub:https://github.com/kaen2891/adversarial_fine-tuning_using_generated_respiratory_sound,（README未提供，详见论文）
多任务,Multi-task,MedDiff-FM: A Diffusion-based Foundation Model for Versatile Medical Image Applications,"Yongrui Yu, Yannian Gu, Shaoting Zhang, Xiaofan Zhang","20th Oct., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2410.15432v2,（README未提供，详见论文）
多任务,Multi-task,Simultaneous Tri-Modal Medical Image Fusion and Super-Resolution using Conditional Diffusion Model,"Yushen Xu, Xiaosong Li, Yuchan Jie, Haishu Tan","26th Apr., 2024","arXiv, 2024","条件扩散, 扩散ODE",超分,Paper:https://arxiv.org/abs/2404.17357,（README未提供，详见论文）
多任务,Multi-task,Implicit Image-to-Image Schrodinger Bridge for CT Super-Resolution and Denoising,"Yuang Wang, Siyeop Yoon, Pengfei Jin, Matthew Tivnan, Zhennong Chen, Rui Hu, Li Zhang, Zhiqiang Chen, Quanzheng Li, Dufan Wu","10th Mar., 2024","arXiv, 2024",Schrödinger Bridge,超分,Paper:https://arxiv.org/abs/2403.06069,（README未提供，详见论文）
多任务,Multi-task,DDPET-3D: Dose-aware Diffusion Model for 3D Ultra Low-dose PET Imaging,"Huidong Xie, Weijie Gan, Bo Zhou, Xiongchao Chen, Qiong Liu, Xueqi Guo, Liang Guo, Hongyu An, Ulugbek S. Kamilov, Ge Wang, Chi Liu","7th Nov., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2311.04248,（README未提供，详见论文）
多任务,Multi-task,Application-driven Validation of Posteriors in Inverse Problems,"Tim J. Adler, Jan-Hinrich Nölke, Annika Reinke, Minu Dietlinde Tizabi, Sebastian Gruber, Dasha Trofimova, Lynton Ardizzone, Paul F. Jaeger, Florian Buettner, Ullrich Köthe, Lena Maier-Hein","18th Sep., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2309.09764,（README未提供，详见论文）
多任务,Multi-task,Content-Preserving Diffusion Model for Unsupervised AS-OCT image Despeckling,"Li Sanqian, Higashita Risa, Fu Huazhu, Li Heng, Niu Jingxuan, Liu Jiang","30th June, 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2306.17717,（README未提供，详见论文）
多任务,Multi-task,Anatomically constrained CT image translation for heterogeneous blood vessel segmentation,"Giammarco La Barbera, Haithem Boussaid, Francesco Maso, Sabine Sarnacki, Laurence Rouet, Pietro Gori, Isabelle Bloch","4th Oct., 2022","BMVC, 2022",通用/未明确,分割,Paper:https://arxiv.org/abs/2210.01713,（README未提供，详见论文）
多任务,Multi-task,Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models,"Walter H. L. Pinaya, Mark S. Graham, Robert Gray, Pedro F Da Costa, Petru-Daniel Tudosiu, Paul Wright, Yee H. Mah, Andrew D. MacKinnon, James T. Teo, Rolf Jager, David Werring, Geraint Rees, Parashkev Nachev, Sebastien Ourselin, M. Jorge Cardos","7th Jun., 2022","MICCAI, 2022",扩散ODE,异常检测/定位,Paper:https://arxiv.org/abs/2206.03461,（README未提供，详见论文）
多任务,Multi-task,MR Image Denoising and Super-Resolution Using Regularized Reverse Diffusion,"Hyungjin Chung, Eun Sun Lee, Jong Chul Ye","23rd Mar., 2022","IEEE TMI, 2022",通用/未明确,超分,Paper:https://arxiv.org/abs/2203.12621,（README未提供，详见论文）
其他应用,Other Applications,MInDI-3D: Iterative Deep Learning in 3D for Sparse-view Cone Beam Computed Tomography,"Daniel Barco, Marc Stadelmann, Martin Oswald, Ivo Herzig, Lukas Lichtensteiger, Pascal Paysan, Igor Peterlik, Michal Walczak, Bjoern Menze, Frank-Peter Schilling","13th Aug., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2508.09616v1,（README未提供，详见论文）
其他应用,Other Applications,Out-of-Distribution Detection in Medical Imaging via Diffusion Trajectories,"Lemar Abdi, Francisco Caetano, Amaan Valiuddin, Christiaan Viviers, Hamdi Joudeh, Fons van der Sommen","31th Jul., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2507.23411v1,（README未提供，详见论文）
其他应用,Other Applications,DiSC-Med: Diffusion-based Semantic Communications for Robust Medical Image Transmission,"Fupei Guo, Hao Zheng, Xiang Zhang, Li Chen, Yue Wang, Songyang Zhang","31st Jul., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2508.00172v1,（README未提供，详见论文）
其他应用,Other Applications,DM-FNet: Unified multimodal medical image fusion via diffusion process-trained encoder-decoder,"Dan He, Weisheng Li, Guofen Wang, Yuping Huang, Shiqiang Liu","18th Jun., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2506.15218v1,（README未提供，详见论文）
其他应用,Other Applications,GM-LDM: Latent Diffusion Model for Brain Biomarker Identification through Functional Data-Driven Gray Matter Synthesis,"Hu Xu, Yang Jingling, Jia Sihan, Bi Yuda, Calhoun Vince","15th Jun., 2025","arXiv, 2025","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2506.12719v1,（README未提供，详见论文）
其他应用,Other Applications,Anatomy-Grounded Weakly Supervised Prompt Tuning for Chest X-ray Latent Diffusion Models,"Konstantinos Vilouras, Ilias Stogiannidis, Junyu Yan, Alison Q. O'Neil, Sotirios A. Tsaftaris","12th Jun., 2025","arXiv, 2025","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2506.10633v1,（README未提供，详见论文）
其他应用,Other Applications,Stable Vision Concept Transformers for Medical Diagnosis,"Lijie Hu, Songning Lai, Yuan Hua, Shu Yang, Jingfeng Zhang, Di Wang","05th Jun., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2506.05286v1,（README未提供，详见论文）
其他应用,Other Applications,The Devil is in the Prompts: De-Identification Traces Enhance Memorization Risks in Synthetic Chest X-Ray Generation,Raman Dutt,"11th Feb., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2502.07516v2,（README未提供，详见论文）
其他应用,Other Applications,Deep Generative Models Unveil Patterns in Medical Images Through Vision-Language Conditioning,"Xiaodan Xing, Junzhi Ning, Yang Nan, Guang Yang","17th Oct., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2410.13823v1 | GitHub:https://github.com/junzhin/DGM-VLC,（README未提供，详见论文）
其他应用,Other Applications,Self-supervised pre-training with diffusion model for few-shot landmark detection in x-ray images,"Roberto Di Via, Francesca Odone, Vito Paolo Pastore","25th Jul., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2407.18125,（README未提供，详见论文）
其他应用,Other Applications,A discontinuous Galerkin method for the three-dimensional heterodimer model with application to prion-like proteins' dynamics,"Paola F. Antonietti, Mattia Corti, Giacomo Lorenzon","22nd Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.16065,（README未提供，详见论文）
其他应用,Other Applications,Assessing Sample Quality via the Latent Space of Generative Models,"Jingyi Xu, Hieu Le, Dimitris Samaras","21st Jul., 2024","ECCV, 2025",潜空间/Latent Diffusion,未归纳,Paper:https://arxiv.org/abs/2407.15171 | GitHub:https://github.com/cvlab-stonybrook/LS-sample-quality,（README未提供，详见论文）
其他应用,Other Applications,Back-in-Time Diffusion: Unsupervised Detection of Medical Deepfakes,"Fred Grabovski, Lior Yasur, Guy Amit, Yuval Elovici, Yisroel Mirsky","21st Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.15169,（README未提供，详见论文）
其他应用,Other Applications,Latent Pollution Model: The Hidden Carbon Footprint in 3D Image Synthesis,"Marvin Seyfarth, Salman Ul Hassan Dar, Sandy Engelhardt","20th Jul., 2024","SASHIMI, 2024",潜空间/Latent Diffusion,未归纳,Paper:https://arxiv.org/abs/2407.14892,（README未提供，详见论文）
其他应用,Other Applications,Hallucination Index: An Image Quality Metric for Generative Reconstruction Models,"Matthew Tivnan, Siyeop Yoon, Zhennong Chen, Xiang Li, Dufan Wu, Quanzheng Li","17th Jul., 2024","MICCAI, 2024",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2407.12780,（README未提供，详见论文）
其他应用,Other Applications,Salt & Pepper Heatmaps: Diffusion-informed Landmark Detection Strategy,"Julian Wyatt, Irina Voiculescu","12th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.09192,（README未提供，详见论文）
其他应用,Other Applications,Hybrid RAG-empowered Multi-modal LLM for Secure Healthcare Data Management: A Diffusion-based Contract Theory Approach,"Cheng Su, Jinbo Wen, Jiawen Kang, Yonghua Wang, Hudan Pan, M. Shamim Hossain","1st Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.00978,（README未提供，详见论文）
其他应用,Other Applications,MemControl: Mitigating Memorization in Medical Diffusion Models via Automated Parameter Selection,"Raman Dutt, Pedro Sanchez, Ondrej Bohdal, Sotirios A. Tsaftaris, Timothy Hospedales","29th May, 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2405.19458,（README未提供，详见论文）
其他应用,Other Applications,RadRotator: 3D Rotation of Radiographs with Diffusion Models,"Pouria Rouzrokh, Bardia Khosravi, Shahriar Faghani, Kellen L. Mulford, Michael J. Taunton, Bradley J. Erickson, Cody C. Wyles","19th Apr., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2404.13000 | Project Page:https://pouriarouzrokh.github.io/RadRotator/ | Huggingface:https://huggingface.co/spaces/Pouriarouzrokh/RadRotator,（README未提供，详见论文）
其他应用,Other Applications,Zero-Shot Medical Phrase Grounding with Off-the-shelf Diffusion Models,"Konstantinos Vilouras, Pedro Sanchez, Alison Q. O'Neil, Sotirios A. Tsaftaris","19th Apr., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2404.12920,（README未提供，详见论文）
其他应用,Other Applications,Guided Discrete Diffusion for Electronic Health Record Generation,"Jun Han, Zixiang Chen, Yongqian Li, Yiwen Kou, Eran Halperin, Robert E. Tillman, Quanquan Gu","18th Apr., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2404.12314,（README未提供，详见论文）
其他应用,Other Applications,QSMDiff: Unsupervised 3D Diffusion Models for Quantitative Susceptibility Mapping,"Zhuang Xiong, Wei Jiang, Yang Gao, Feng Liu, Hongfu Sun","21st Mar., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2403.14070,（README未提供，详见论文）
其他应用,Other Applications,DUE: Dynamic Uncertainty-Aware Explanation Supervision via 3D Imputation,"Qilong Zhao, Yifei Zhang, Mengdan Zhu, Siyi Gu, Yuyang Gao, Xiaofeng Yang, Liang Zhao","16th Feb., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.10831 | GitHub:https://github.com/AlexQilong/DUE,（README未提供，详见论文）
其他应用,Other Applications,Statistical Test for Generated Hypotheses by Diffusion Models,"Teruyuki Katsuoka, Tomohiro Shiraishi, Daiki Miwa, Vo Nguyen Le Duy, Ichiro Takeuchi","19th Feb., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2402.11789 | GitHub:https://github.com/teruyukikatsuoka/DMAD-test,（README未提供，详见论文）
其他应用,Other Applications,On the Standardization of Behavioral Use Clauses and Their Adoption for Responsible Licensing of AI,"Daniel McDuff, Tim Korjakow, Scott Cambo, Jesse Josua Benjamin, Jenny Lee, Yacine Jernite, Carlos Muñoz Ferrandis, Aaron Gokaslan, Alek Tarkowski, Joseph Lindley, A. Feder Cooper, Danish Contractor","7th Feb., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2402.05979,（README未提供，详见论文）
其他应用,Other Applications,Unconditional Latent Diffusion Models Memorize Patient Imaging Data,"Salman Ul Hassan Dar, Marvin Seyfarth, Jannik Kahmann, Isabelle Ayx, Theano Papavassiliu, Stefan O. Schoenberg, Sandy Engelhardt","1st Feb., 2024","arXiv, 2024","潜空间/Latent Diffusion, 条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2402.01054 | GitHub:https://github.com/Warvito/generative_chestxray,（README未提供，详见论文）
其他应用,Other Applications,FedTabDiff: Federated Learning of Diffusion Probabilistic Models for Synthetic Mixed-Type Tabular Data Generation,"Timur Sattarov, Marco Schreyer, Damian Borth","11th Jan., 2024","arXiv, 2024","DDPM类, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2401.06263 | GitHub:https://github.com/sattarov/FedTabDiff,（README未提供，详见论文）
其他应用,Other Applications,VALD-MD: Visual Attribution via Latent Diffusion for Medical Diagnostics,"Ammar A. Siddiqui, Santosh Tirunagari, Tehseen Zia, David Windridge","2nd Jan., 2024","arXiv, 2024",潜空间/Latent Diffusion,未归纳,Paper:https://arxiv.org/abs/2401.01414,（README未提供，详见论文）
其他应用,Other Applications,On the notion of Hallucinations from the lens of Bias and Validity in Synthetic CXR Images,"Gauri Bhardwaj, Yuvaraj Govindarajulu, Sundaraparipurnan Narayanan, Pavan Kulkarni, Manojkumar Parmar","12th Dec., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2312.06979,（README未提供，详见论文）
其他应用,Other Applications,Reconstruction of Patient-Specific Confounders in AI-based Radiologic Image Interpretation using Generative Pretraining,"Tianyu Han, Laura Žigutytė, Luisa Huck, Marc Huppertz, Robert Siepmann, Yossi Gandelsman, Christian Blüthgen, Firas Khader, Christiane Kuhl, Sven Nebelung, Jakob Kather, Daniel Truhn","29th Sep., 2023","arXiv, 2023",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2309.17123 | GitHub:https://github.com/peterhan91/diffchest | Demo:https://colab.research.google.com/drive/1gHWCQxreE1Olo2uQiXfSFSVInmiX85Nn?usp=sharing,（README未提供，详见论文）
其他应用,Other Applications,Assessing the capacity of a denoising diffusion probabilistic model to reproduce spatial context,"Rucha Deshpande, Muzaffer Özbey, Hua Li, Mark A. Anastasio, Frank J. Brooks","19th Sep., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2309.10817,（README未提供，详见论文）
其他应用,Other Applications,Beta quantile regression for robust estimation of uncertainty in the presence of outliers,"Haleh Akrami, Omar Zamzam, Anand Joshi, Sergul Aydore, Richard Leahy","14th Sep., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2309.07374,（README未提供，详见论文）
其他应用,Other Applications,Unsupervised 3D out-of-distribution detection with latent diffusion models,"Mark S. Graham, Walter Hugo Lopez Pinaya, Paul Wright, Petru-Daniel Tudosiu, Yee H. Mah, James T. Teo, H. Rolf Jäger, David Werring, Parashkev Nachev, Sebastien Ourselin, M. Jorge Cardoso","7th Jul., 2023","MICCAI, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2307.03777 | GitHub:https://github.com/marksgraham/ddpm-ood,（README未提供，详见论文）
其他应用,Other Applications,DoseDiff: Distance-aware Diffusion Model for Dose Prediction in Radiotherapy,"Yiwen Zhang, Chuanpu Li, Liming Zhong, Zeli Chen, Wei Yang, Xuetao Wang","28th Jun., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2306.16324,（README未提供，详见论文）
其他应用,Other Applications,Semantic Latent Space Regression of Diffusion Autoencoders for Vertebral Fracture Grading,"Matthias Keicher, Matan Atad, David Schinz, Alexandra S. Gersing, Sarah C. Foreman, Sophia S. Goller, Juergen Weissinger, Jon Rischewski, Anna-Sophia Dietrich, Benedikt Wiestler, Jan S. Kirschke, Nassir Navab","21st Mar., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2303.12031,（README未提供，详见论文）
